source_id,target_id,type
SC6210,SC6210_L1,CO_CLO
SC6210,SC6210_L2,CO_CLO
SC6211,SC6211_L1,CO_CLO
SC6211,SC6211_L2,CO_CLO
SC6211,SC6211_L3,CO_CLO
SC6211,SC6211_L4,CO_CLO
SC6211,SC6211_L1,CO_CLO
SC6211,SC6211_L2,CO_CLO
SC6211,SC6211_L3,CO_CLO
SC6211,SC6211_L4,CO_CLO
SC6212,SC6212_L1,CO_CLO
SC6212,SC6212_L2,CO_CLO
SC6212,SC6212_L1,CO_CLO
SC6212,SC6212_L2,CO_CLO
SC6213,SC6213_L1,CO_CLO
SC6213,SC6213_L2,CO_CLO
SC6213,SC6213_L1,CO_CLO
SC6213,SC6213_L2,CO_CLO
SC6214,SC6214_L1,CO_CLO
SC6214,SC6214_L2,CO_CLO
SC6214,SC6214_L1,CO_CLO
SC6214,SC6214_L2,CO_CLO
SC6215,SC6215_L1,CO_CLO
SC6215,SC6215_L2,CO_CLO
SC6215,SC6215_L3,CO_CLO
SC6215,SC6215_L1,CO_CLO
SC6215,SC6215_L2,CO_CLO
SC6215,SC6215_L3,CO_CLO
SC6218,SC6218_L1,CO_CLO
SC6218,SC6218_L2,CO_CLO
SC6218,SC6218_L1,CO_CLO
SC6218,SC6218_L2,CO_CLO
SC6219,SC6219_L1,CO_CLO
SC6219,SC6219_L2,CO_CLO
SC6219,SC6219_L3,CO_CLO
SC6219,SC6219_L1,CO_CLO
SC6219,SC6219_L2,CO_CLO
SC6219,SC6219_L3,CO_CLO
SC6220,SC6220_L1,CO_CLO
SC6220,SC6220_L2,CO_CLO
SC6220,SC6220_L3,CO_CLO
SC6220,SC6220_L1,CO_CLO
SC6220,SC6220_L2,CO_CLO
SC6220,SC6220_L3,CO_CLO
SC6221,SC6221_L1,CO_CLO
SC6221,SC6221_L2,CO_CLO
SC6221,SC6221_L3,CO_CLO
SC6221,SC6221_L1,CO_CLO
SC6221,SC6221_L2,CO_CLO
SC6221,SC6221_L3,CO_CLO
SC6222,SC6222_CLO1,CO_CLO
SC6222,SC6222_CLO2,CO_CLO
SC6222,SC6222_CLO3,CO_CLO
SC6222,SC6222_CLO4,CO_CLO
SC6222,SC6222_CLO5,CO_CLO
SC6222,SC6222_CLO1,CO_CLO
SC6222,SC6222_CLO2,CO_CLO
SC6222,SC6222_CLO3,CO_CLO
SC6222,SC6222_CLO4,CO_CLO
SC6222,SC6222_CLO5,CO_CLO
SC6223,SC6223_L1,CO_CLO
SC6223,SC6223_L2,CO_CLO
SC6223,SC6223_L3,CO_CLO
SC6223,SC6223_L1,CO_CLO
SC6223,SC6223_L2,CO_CLO
SC6223,SC6223_L3,CO_CLO
SC6224,SC6224_L1,CO_CLO
SC6224,SC6224_L2,CO_CLO
SC6224,SC6224_L3,CO_CLO
SC6224,SC6224_L4,CO_CLO
SC6224,SC6224_L5,CO_CLO
SC6224,SC6224_L1,CO_CLO
SC6224,SC6224_L2,CO_CLO
SC6224,SC6224_L3,CO_CLO
SC6224,SC6224_L4,CO_CLO
SC6224,SC6224_L5,CO_CLO
SC6228,SC6228_L1,CO_CLO
SC6228,SC6228_L2,CO_CLO
SC6228,SC6228_L1,CO_CLO
SC6228,SC6228_L2,CO_CLO
SC6229,SC6229_L1,CO_CLO
SC6229,SC6229_L2,CO_CLO
SC6229,SC6229_L1,CO_CLO
SC6229,SC6229_L2,CO_CLO
SC6232,SC6232_L1,CO_CLO
SC6232,SC6232_L2,CO_CLO
SC6232,SC6232_L1,CO_CLO
SC6232,SC6232_L2,CO_CLO
SC6234,SC6234_L1,CO_CLO
SC6234,SC6234_L2,CO_CLO
SC6234,SC6234_L3,CO_CLO
SC6234,SC6234_L1,CO_CLO
SC6234,SC6234_L2,CO_CLO
SC6234,SC6234_L3,CO_CLO
SC6236,SC6236_L1,CO_CLO
SC6236,SC6236_L2,CO_CLO
SC6236,SC6236_L1,CO_CLO
SC6236,SC6236_L2,CO_CLO
SC6237,SC6237_L1,CO_CLO
SC6237,SC6237_L2,CO_CLO
SC6237,SC6237_L3,CO_CLO
SC6237,SC6237_L1,CO_CLO
SC6237,SC6237_L2,CO_CLO
SC6237,SC6237_L3,CO_CLO
SC6239,SC6239_L1,CO_CLO
SC6239,SC6239_L2,CO_CLO
SC6239,SC6239_L3,CO_CLO
SC6239,SC6239_L1,CO_CLO
SC6239,SC6239_L2,CO_CLO
SC6239,SC6239_L3,CO_CLO
SC6240,SC6240_L1,CO_CLO
SC6240,SC6240_L2,CO_CLO
SC6240,SC6240_L1,CO_CLO
SC6240,SC6240_L2,CO_CLO
SC6240,SC6240_L1,CO_CLO
SC6240,SC6240_L1,CO_CLO
SC6240,SC6240_L2,CO_CLO
SC6240,SC6240_L1,CO_CLO
SC6240,SC6240_L2,CO_CLO
SC6240,SC6240_L1,CO_CLO
SC6241,SC6241_L1,CO_CLO
SC6241,SC6241_L2,CO_CLO
SC6241,SC6241_L3,CO_CLO
SC6241,SC6241_L1,CO_CLO
SC6241,SC6241_L2,CO_CLO
SC6241,SC6241_L3,CO_CLO
SC6244,SC6244_L1,CO_CLO
SC6244,SC6244_L2,CO_CLO
SC6244,SC6244_L1,CO_CLO
SC6244,SC6244_L2,CO_CLO
SC6260,SC6260_L1,CO_CLO
SC6260,SC6260_L2,CO_CLO
SC6260,SC6260_L3,CO_CLO
SC6260,SC6260_L1,CO_CLO
SC6260,SC6260_L2,CO_CLO
SC6260,SC6260_L3,CO_CLO
